skip	dateOrder	dateShipment	dateCelebration	instagram	name	phoneNumber	city	novaPoshta	paymentDate	sentDate	description	paymentCheck	sentCheck
1	2016-05-25	2016-05-25		zaglushka	Заглушка	80620000000	Донецк	1	2016-05-25	2016-05-25		1	1
2	2017-01-28	2017-01-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-01-28	2017-01-28		1	1
3	2017-05-18	2017-05-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-05-18	2017-05-18		1	1
4	2017-05-16	2017-05-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-05-16	2017-05-16		1	1
5	2017-05-25	2017-05-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-05-25	2017-05-25		1	1
6	2017-06-19	2017-06-19		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-19	2017-06-19		1	1
7	2017-06-22	2017-06-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-22	2017-06-22		1	1
8	2017-06-22	2017-06-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-22	2017-06-22		1	1
9	2017-06-27	2017-06-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-27	2017-06-27		1	1
10	2017-06-28	2017-06-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-28	2017-06-28		1	1
11	2017-06-28	2017-06-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-06-28	2017-06-28		1	1
12	2017-07-05	2017-07-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-05	2017-07-05		1	1
13	2017-07-05	2017-07-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-05	2017-07-05		1	1
14	2017-07-07	2017-07-07		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-07	2017-07-07		1	1
15	2017-07-07	2017-07-07		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-07	2017-07-07		1	1
16	2017-07-07	2017-07-07		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-07	2017-07-07		1	1
17	2017-07-10	2017-07-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-10	2017-07-10		1	1
18	2017-07-10	2017-07-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-10	2017-07-10		1	1
19	2017-07-10	2017-07-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-10	2017-07-10		1	1
20	2017-07-11	2017-07-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-11	2017-07-11		1	1
